"Province","Q-AIC"
"Bangkok",13545.5605473595
"Buri Ram",2064.61095008991
"Chachoengsao",6273.45085548214
"Chanthaburi",1751.00896981144
"Chiang Mai",11523.7379597897
"Chiang Rai",8382.93861546368
"Chon Buri",9985.61705040645
"Kamphaeng Phet",1807.19006339344
"Kanchanaburi",9579.22885560413
"Khon Kaen",10374.7666785757
"Lampang",7116.0151886028
"Lamphun",6676.62847232538
"Loei",6647.91760294789
"Lop Buri",1973.27684313113
"Mae Hong Son",3682.63189116146
"Mukdahan",962.53266887422
"Nakhon Pathom",6102.24145649325
"Nakhon Phanom",3599.28095621
"Nakhon Ratchasima",8162.62537958329
"Nakhon Sawan",7669.48484295354
"Nakhon Si Thammarat",4630.1779515339
"Nan",7410.59184585929
"Narathiwat",8826.56317193884
"Nong Khai",4713.47814498442
"Nonthaburi",NA
"Pathum Thani",6569.54146171507
"Phayao",5724.91965451255
"Phetchabun",1976.95146309248
"Phichit",1787.98356962217
"Phitsanulok",4012.56417725464
"Phra Nakhon Si Ayutthaya",7273.54150573747
"Phrae",6049.51847373785
"Phuket",4495.63720880803
"Prachin Buri",8302.07927961853
"Prachuap Khiri Khan",1604.05137899884
"Ratchaburi",9909.27952188366
"Rayong",8460.17301671412
"Sa Kaeo",6238.68854585184
"Sakon Nakhon",3233.4935060476
"Samut Prakan",9515.43584013588
"Samut Sakhon",NA
"Samut Songkhram",3245.73443187025
"Saraburi",NA
"Satun",6063.08390070006
"Songkhla",9388.68621760498
"Sukhothai",1751.68991950475
"Suphan Buri",4181.06949895259
"Surat Thani",7692.848610099
"Tak",7404.56080484359
"Trang",2999.01091267434
"Trat",2390.19502357539
"Ubon Ratchathani",6398.20682627068
"Udon Thani",3838.26490884425
"Uthai Thani",1511.38942989522
"Uttaradit",2728.70957426373
"Yala",8813.34730394728
